rel_path,source,title,title_norm,published_raw,date_iso,cluster_size,cluster_sources_count,story_role
MC1/News Articles/All News Today/121.txt,All News Today,POK PROTESTS END IN ARRESTS,POK PROTESTS END IN ARRESTS,2005/04/06,2005-04-06,3,3,Derivative
MC1/News Articles/All News Today/135.txt,All News Today,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,2012/04/09,2012-04-09,3,3,Primary
MC1/News Articles/All News Today/152.txt,All News Today,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,1993/02/02,1993-02-02,3,3,Primary
MC1/News Articles/All News Today/154.txt,All News Today,"ELODIS, KRONOS:  A TOWN IN NEED, Part One","ELODIS, KRONOS: A TOWN IN NEED, PART ONE",Petrus Gerhard,,3,3,Unknown
MC1/News Articles/All News Today/237.txt,All News Today,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME?","ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME?",1998/05/15,1998-05-15,2,2,Primary
MC1/News Articles/All News Today/251.txt,All News Today,ELODIS PUBLIC HEALTH FACT SHEET 2004,ELODIS PUBLIC HEALTH FACT SHEET 2004,2004/05/29,2004-05-29,3,3,Primary
MC1/News Articles/All News Today/341.txt,All News Today,WHO BRINGS A GUN TO A SIT IN?,WHO BRINGS A GUN TO A SIT IN?,2013/06/21,2013-06-21,2,2,Derivative
MC1/News Articles/All News Today/391.txt,All News Today,"TAX MEASURE DEFEATED, POK EFFORTS STALLED","TAX MEASURE DEFEATED, POK EFFORTS STALLED",2001/03/22,2001-03-22,3,3,Primary
MC1/News Articles/All News Today/420.txt,All News Today,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,1998/11/15,1998-11-15,3,3,Derivative
MC1/News Articles/All News Today/554.txt,All News Today,ELIAN KAREL DEAD IN KRONOS JAIL,ELIAN KAREL DEAD IN KRONOS JAIL,2009/06/20,2009-06-20,3,3,Derivative
MC1/News Articles/All News Today/603.txt,All News Today,"GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD","GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD",2007/03/21,2007-03-21,3,3,Derivative
MC1/News Articles/All News Today/612.txt,All News Today,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,1999/07/08,1999-07-08,3,3,Derivative
MC1/News Articles/All News Today/617.txt,All News Today,ELODIS PUBLIC HEALTH FACT SHEET,ELODIS PUBLIC HEALTH FACT SHEET,1998/05/16,1998-05-16,3,3,Derivative
MC1/News Articles/All News Today/683.txt,All News Today,POK LEADER KAREL ARRESTED,POK LEADER KAREL ARRESTED,2009/03/12,2009-03-12,4,3,Primary
MC1/News Articles/All News Today/698.txt,All News Today,POK REMEMBERS MARTYRED LEADER,POK REMEMBERS MARTYRED LEADER,2012/06/20,2012-06-20,4,4,Primary
