source,articles,out,in,score
News Online Today,111,229,3,226
Central Bulletin,21,1,0,1
All News Today,18,0,0,0
Athena Speaks,25,0,0,0
Daily Pegasus,26,0,0,0
Everyday News,15,0,0,0
News Desk,25,0,0,0
The Continent,15,0,0,0
The Explainer,25,0,0,0
The General Post,19,0,0,0
The Light of Truth,19,0,0,0
The Orb,26,0,0,0
The Tulip,19,0,0,0
The World,17,0,0,0
The Wrap,26,0,0,0
Who What News,15,0,0,0
World Journal,15,0,0,0
World Source,9,0,0,0
International News,20,2,3,-1
International Times,14,0,1,-1
The Guide,28,0,4,-4
The Truth,28,1,6,-5
Worldwise,28,0,5,-5
Modern Rubicon,30,0,29,-29
The Abila Post,54,0,29,-29
Tethys News,35,0,35,-35
Centrum Sentinel,36,0,36,-36
Homeland Illumination,64,0,39,-39
Kronos Star,62,0,43,-43
