source,articles,out,in,score
All News Today,16,0,0,0
Athena Speaks,23,0,0,0
Central Bulletin,18,0,0,0
Daily Pegasus,23,0,0,0
Everyday News,15,0,0,0
Homeland Illumination,18,0,0,0
International News,12,0,0,0
International Times,13,0,0,0
Kronos Star,10,0,0,0
News Desk,22,0,0,0
News Online Today,21,0,0,0
The Abila Post,21,0,0,0
The Continent,15,0,0,0
The Explainer,25,0,0,0
The General Post,17,0,0,0
The Guide,19,0,0,0
The Light of Truth,17,0,0,0
The Orb,21,0,0,0
The Truth,14,0,0,0
The Tulip,18,0,0,0
The World,13,0,0,0
The Wrap,24,0,0,0
Who What News,14,0,0,0
World Journal,15,0,0,0
World Source,9,0,0,0
Worldwise,20,0,0,0
