source,articles,out,in,score
All News Today,18,0,0,0
Athena Speaks,25,0,0,0
Central Bulletin,21,0,0,0
Centrum Sentinel,36,0,0,0
Daily Pegasus,26,0,0,0
Everyday News,15,0,0,0
Homeland Illumination,64,0,0,0
International News,20,0,0,0
International Times,14,0,0,0
Kronos Star,62,0,0,0
Modern Rubicon,30,0,0,0
News Desk,25,0,0,0
News Online Today,111,0,0,0
Tethys News,35,0,0,0
The Abila Post,54,0,0,0
The Continent,15,0,0,0
The Explainer,25,0,0,0
The General Post,19,0,0,0
The Guide,28,0,0,0
The Light of Truth,19,0,0,0
The Orb,26,0,0,0
The Truth,28,0,0,0
The Tulip,19,0,0,0
The World,17,0,0,0
The Wrap,26,0,0,0
Who What News,15,0,0,0
World Journal,15,0,0,0
World Source,9,0,0,0
Worldwise,28,0,0,0
