source,articles,out,in,score
International Times,14,19,1,18
Kronos Star,62,28,10,18
Homeland Illumination,64,25,8,17
The World,17,18,7,11
International News,20,20,10,10
All News Today,18,18,9,9
Central Bulletin,21,20,13,7
The Abila Post,54,20,13,7
Centrum Sentinel,36,0,0,0
Modern Rubicon,30,0,0,0
Tethys News,35,0,0,0
The Guide,28,0,0,0
The Light of Truth,19,1,1,0
The Tulip,19,0,0,0
The Wrap,26,0,0,0
Worldwise,28,0,0,0
Daily Pegasus,26,1,2,-1
Everyday News,15,1,2,-1
News Desk,25,0,1,-1
The General Post,19,0,1,-1
The Orb,26,0,1,-1
The Truth,28,0,1,-1
The Continent,14,0,2,-2
The Explainer,25,1,3,-2
Athena Speaks,25,0,3,-3
World Journal,15,0,3,-3
World Source,9,0,8,-8
Who What News,15,0,14,-14
News Online Today,111,28,87,-59
